county,year,direction,total_us_foreign_returns,total_us_foreign_exemptions,same_state_returns,same_state_exemptions,diff_state_returns,diff_state_exemptions,foreign_returns,foreign_exemptions,nonmigrant_returns,nonmigrant_exemptions,era
Maui County,2010,out,2638.0,4304.0,679.0,1141.0,1915.0,3102.0,44.0,61.0,54280.0,112124.0,pre2011
Maui County,2011,out,2760.0,4710.0,670.0,1178.0,2038.0,3450.0,52.0,82.0,58155.0,120243.0,2011_2021
Maui County,2012,out,2951.0,4954.0,695.0,1131.0,2211.0,3749.0,45.0,74.0,58947.0,121096.0,2011_2021
Maui County,2013,out,2951.0,4992.0,690.0,1210.0,2224.0,3724.0,37.0,58.0,60328.0,122983.0,2011_2021
Maui County,2014,out,2627.0,4291.0,631.0,1041.0,1964.0,3198.0,32.0,52.0,62236.0,125571.0,2011_2021
Maui County,2015,out,3066.0,5223.0,677.0,1106.0,2358.0,4065.0,31.0,52.0,62667.0,125263.0,2011_2021
Maui County,2016,out,3904.0,6773.0,806.0,1342.0,3098.0,5431.0,,,63128.0,124784.0,2011_2021
Maui County,2017,out,3190.0,5459.0,654.0,1113.0,2536.0,4346.0,,,64891.0,126921.0,2011_2021
Maui County,2018,out,3214.0,5268.0,675.0,1095.0,2539.0,4173.0,,,65870.0,128129.0,2011_2021
Maui County,2019,out,3258.0,5470.0,620.0,977.0,2638.0,4493.0,,,67107.0,133286.0,2011_2021
Maui County,2020,out,3502.0,5754.0,642.0,1031.0,2860.0,4723.0,,,66950.0,126309.0,2011_2021
Maui County,2021,out,3321.0,5530.0,622.0,989.0,2699.0,4541.0,,,67621.0,127037.0,2011_2021
Maui County,2022,out,3530.0,5774.0,719.0,1138.0,2745.0,4527.0,66.0,109.0,68244.0,127350.0,post2022
