year,maui_actual,maui_synth,honolulu_actual,honolulu_synth,hawaii_actual,hawaii_synth
2011,0.0334564557169826,0.03408371828846446,0.050633072598947,0.05068191520738616,0.0321737589699672,0.032457742798653814
2012,0.0357200555753013,0.03578804950635047,0.0534835014640382,0.0535340475962985,0.0321459854014598,0.03298167232322603
2013,0.0351459409914821,0.03523841872717808,0.0514737018819986,0.05151440170391346,0.0327378803413866,0.03281258833279622
2014,0.0302792038604443,0.02945670217970386,0.0378059424257569,0.037614448410359116,0.0274786166917677,0.026718898245850956
2015,0.0358723928620327,0.035631280373362606,0.05297620644985,0.05306219380771101,0.0352427820607547,0.034943238557810806
2016,0.0462167323069578,0.046315046787263024,0.0745033792681836,0.07426604819057124,0.0438738097843931,0.04410296216598963
2017,0.0372497466253433,0.037671725799376866,0.054041241424244,0.054332624528143046,0.0382074965095048,0.03762527451399635
2018,0.0367523594464709,0.03634867934838089,0.0510780697970834,0.050996244795895124,0.0381309497088686,0.03791664676885967
2019,0.0374902295175158,0.03737085986601022,0.0523583928132515,0.05235249648963967,0.035329801221052,0.03573710253192802
2020,0.0405950150457048,0.03726213824173958,0.0536306050030792,0.05215247805858272,0.0364501607717041,0.036340745148578955
2021,0.0380451636548166,0.04012517439832693,0.0526757526571819,0.053223477426999094,0.0373057772662446,0.03635884545880474
2022,0.0382450469529356,0.03821663617949728,0.049599225731155,0.050133633617718165,0.0358942373544662,0.0344195014177089
