year,kauai_actual,kauai_synth,fs_kauai,fs_donor
1990,0.0326307959335482,0.032630795933577594,100.0,100.0
1991,0.0313214013709063,0.03132140137090627,125.514261019879,103.09442326538361
1992,0.0349043486599223,0.03149734431608958,116.19706136560069,101.05764182131942
1993,0.0369419967076595,0.031040428245545298,67.03543647363873,105.60221790089568
1994,0.0372971663841123,0.03192296658874205,82.81763180639585,112.00040362786196
1995,0.0311383108935128,0.024249586413259416,94.84874675885912,116.72780944660227
1996,0.0339107457428068,0.026541669675307553,104.06222990492654,120.60178177757027
1997,0.0329507954489484,0.025735059526804976,,
1998,0.0304014740108611,0.02455184852986447,,
1999,0.0333175579744439,0.02688511784540154,,
2000,0.0289686599088626,0.02633859444164749,,
