12 001   Alachua Total Migration  Fl      6176            10605
  12 031 Duval                    Fl       321   5.20       552   5.21
  12 095 Orange                   Fl       292   4.73       413   3.89
  12 057 Hillsborough             Fl       247   4.00       396   3.73
  12 083 Marion                   Fl       222   3.59       394   3.72
  12 011 Broward                  Fl       205   3.32       275   2.59
  12 099 Palm Beach               Fl       177   2.87       261   2.46
  12 025 Dade                     Fl       170   2.75       242   2.28
  12 103 Pinellas                 Fl       168   2.72       255   2.40
  12 073 Leon                     Fl       142   2.30       234   2.21
  12 107 Putnam                   Fl       131   2.12       248   2.34
  57 001 Foreign / Overseas       FR       124   2.01       231   2.18
  12 019 Clay                     Fl       117   1.89       231   2.18
  12 117 Seminole                 Fl       111   1.80       153   1.44
  12 127 Volusia                  Fl       107   1.73       186   1.75
  12 075 Levy                     Fl       107   1.73       215   2.03
  12 009 Brevard                  Fl        93   1.51       153   1.44
  12 007 Bradford                 Fl        92   1.49       186   1.75
  12 023 Columbia                 Fl        85   1.38       146   1.38
  12 115 Sarasota                 Fl        69   1.12       116   1.09
  12 041 Gilchrist                Fl        66   1.07       132   1.24
  12 105 Polk                     Fl        62   1.00       115   1.08
  12 109 St. Johns                Fl        58    .94        95    .90
  13 089 De Kalb                  Ga        58    .94        80    .75
  12 071 Lee                      Fl        53    .86        85    .80
  12 033 Escambia                 Fl        51    .83        91    .86
  13 067 Cobb                     Ga        44    .71        71    .67
  06 037 Los Angeles              Ca        39    .63        57    .54
  48 201 Harris                   Tx        38    .62        69    .65
  12 017 Citrus                   Fl        35    .57        52    .49
  12 121 Suwannee                 Fl        34    .55        50    .47
  12 069 Lake                     Fl        33    .53        56    .53
  13 121 Fulton                   Ga        31    .50        40    .38
  12 081 Manatee                  Fl        30    .49        46    .43
  17 031 Cook                     Il        29    .47        44    .41
  48 113 Dallas                   Tx        29    .47        46    .43
  37 183 Wake                     NC        27    .44        42    .40
  12 005 Bay                      Fl        27    .44        34    .32
  51 059 Fairfax                  Va        26    .42        50    .47
  12 101 Pasco                    Fl        25    .40        43    .41
  12 125 Union                    Fl        25    .40        50    .47
  13 135 Gwinnett                 Ga        24    .39        48    .45
  37 119 Mecklenburg              NC        23    .37        51    .48
  36 061 New York                 NY        22    .36        25    .24
  12 021 Collier                  Fl        22    .36        31    .29
  06 073 San Diego                Ca        22    .36        34    .32
  11 001 Wash.,D.C.               DC        21    .34        29    .27
  12 085 Martin                   Fl        19    .31        30    .28
  24 031 Montgomery               Md        19    .31        41    .39
  04 013 Maricopa                 Az        17    .28        33    .31
  12 111 St. Lucie                Fl        17    .28        29    .27
  53 033 King                     Wa        17    .28        22    .21
  12 015 Charlotte                Fl        16    .26        36    .34
  12 029 Dixie                    Fl        16    .26        30    .28
  12 061 Indian River             Fl        16    .26        29    .27
  08 059 Jefferson                Co        16    .26        23    .22
  47 037 Davidson                 Tn        15    .24        27    .25
  12 097 Osceola                  Fl        15    .24        25    .24
  06 001 Alameda                  Ca        15    .24        25    .24
  48 453 Travis                   Tx        15    .24        20    .19
  12 087 Monroe                   Fl        15    .24        19    .18
  01 073 Jefferson                Al        15    .24        24    .23
  12 091 Okaloosa                 Fl        14    .23        30    .28
  37 081 Guilford                 NC        13    .21        21    .20
  06 075 San Francisco            Ca        13    .21        13    .12
  45 019 Charleston               SC        13    .21        17    .16
  12 113 Santa Rosa               Fl        13    .21        17    .16
  57 003 Foreign / Puerto Rico    FR        13    .21        25    .24
  12 089 Nassau                   Fl        13    .21        19    .18
  13 051 Chatham                  Ga        13    .21        24    .23
  06 085 Santa Clara              Ca        13    .21        15    .14
  39 061 Hamilton                 Oh        13    .21        18    .17
  06 059 Orange                   Ca        12    .19        17    .16
  47 093 Knox                     Tn        12    .19        23    .22
  39 049 Franklin                 Oh        12    .19        16    .15
  13 095 Dougherty                Ga        12    .19        22    .21
  21 067 Fayette                  Ky        12    .19        22    .21
  15 003 Honolulu                 Hi        12    .19        25    .24
  12 055 Highlands                Fl        12    .19        17    .16
  17 043 Du Page                  Il        12    .19        16    .15
  06 067 Sacramento               Ca        11    .18        17    .16
  26 163 Wayne                    Mi        11    .18        15    .14
  13 185 Lowndes                  Ga        11    .18        23    .22
  45 079 Richland                 SC        11    .18        26    .25
  12 035 Flagler                  Fl        10    .16        19    .18
  04 019 Pima                     Az        10    .16        16    .15
  08 001 Adams                    Co        10    .16        14    .13
  13 059 Clarke                   Ga        10    .16        22    .21
  48 029 Bexar                    Tx        10    .16        19    .18
  01 081 Lee                      Al        10    .16        15    .14
  42 003 Allegheny                Pa        10    .16        20    .19
  18 097 Marion                   In        10    .16        17    .16
  21 111 Jefferson                Ky        10    .16        25    .24
  37 051 Cumberland               NC        10    .16        25    .24
   Same State                               87   1.41       182   1.72
   Region 1:   Northeast                   323   5.23       561   5.29
   Region 2:   Midwest                     287   4.65       528   4.98
   Region 3:   South                       718  11.63      1441  13.59
   Region 4:   West                        213   3.45       397   3.74
      12 001   County Non-Migrants       55605           118734
12 003   Baker Total Migration Fl Fl       347              799
  12 031 Duval                    Fl       114  32.85       249  31.16
  12 023 Columbia                 Fl        19   5.48        39   4.88
  12 019 Clay                     Fl        19   5.48        48   6.01
  12 001 Alachua                  Fl        13   3.75        35   4.38
  12 125 Union                    Fl        11   3.17        32   4.01
  12 007 Bradford                 Fl        10   2.88        24   3.00
   Same State                               67  19.31       150  18.77
   Same Region, Diff. State                 69  19.88       175  21.90
   Different Region                         25   7.20        47   5.88
      12 003   County Non-Migrants        5005            13066
12 005   Bay Total Migration Flow Fl      3962             8434
  57 001 Foreign / Overseas       FR       315   7.95       725   8.60
  12 073 Leon                     Fl       151   3.81       263   3.12
  12 033 Escambia                 Fl       100   2.52       228   2.70
  12 133 Washington               Fl        86   2.17       181   2.15
  12 091 Okaloosa                 Fl        83   2.09       156   1.85
  12 045 Gulf                     Fl        73   1.84       164   1.94
  12 031 Duval                    Fl        67   1.69       133   1.58
  12 095 Orange                   Fl        62   1.56       104   1.23
  12 063 Jackson                  Fl        61   1.54       127   1.51
  12 057 Hillsborough             Fl        55   1.39       111   1.32
  01 073 Jefferson                Al        52   1.31       113   1.34
  01 069 Houston                  Al        42   1.06       102   1.21
  12 103 Pinellas                 Fl        36    .91        77    .91
  12 131 Walton                   Fl        36    .91        78    .92
  13 135 Gwinnett                 Ga        35    .88        57    .68
  01 101 Montgomery               Al        34    .86        73    .87
  01 097 Mobile                   Al        32    .81        74    .88
  51 810 Virginia Beach city      Va        32    .81        85   1.01
  13 089 De Kalb                  Ga        31    .78        48    .57
  06 073 San Diego                Ca        30    .76        60    .71
  12 011 Broward                  Fl        30    .76        59    .70
  02 020 Anchorage Borough        Ak        28    .71        69    .82
  13 067 Cobb                     Ga        27    .68        48    .57
  48 029 Bexar                    Tx        26    .66        65    .77
  12 099 Palm Beach               Fl        26    .66        51    .60
  12 009 Brevard                  Fl        26    .66        49    .58
  48 201 Harris                   Tx        24    .61        63    .75
  12 037 Franklin                 Fl        23    .58        50    .59
  47 157 Shelby                   Tn        23    .58        49    .58
  12 025 Dade                     Fl        23    .58        55    .65
  06 037 Los Angeles              Ca        22    .56        41    .49
  13 121 Fulton                   Ga        21    .53        33    .39
  12 013 Calhoun                  Fl        20    .50        48    .57
  01 045 Dale                     Al        20    .50        31    .37
  04 013 Maricopa                 Az        19    .48        39    .46
  15 003 Honolulu                 Hi        19    .48        47    .56
  28 059 Jackson                  Ms        19    .48        63    .75
  12 105 Polk                     Fl        19    .48        37    .44
  12 059 Holmes                   Fl        18    .45        37    .44
  08 041 El Paso                  Co        17    .43        58    .69
  01 031 Coffee                   Al        17    .43        40    .47
  37 119 Mecklenburg              NC        17    .43        32    .38
  32 003 Clark                    Nv        17    .43        47    .56
  48 113 Dallas                   Tx        15    .38        24    .28
  13 063 Clayton                  Ga        15    .38        29    .34
  12 001 Alachua                  Fl        15    .38        28    .33
  22 103 St. Tammany              La        15    .38        41    .49
  12 127 Volusia                  Fl        14    .35        31    .37
  12 113 Santa Rosa               Fl        14    .35        30    .36
  45 015 Berkeley                 SC        13    .33        49    .58
  22 051 Jefferson                La        13    .33        27    .32
  12 039 Gadsden                  Fl        13    .33        23    .27
  12 083 Marion                   Fl        12    .30        31    .37
  22 071 Orleans                  La        12    .30        23    .27
  12 115 Sarasota                 Fl        12    .30        17    .20
  12 101 Pasco                    Fl        12    .30        16    .19
  12 117 Seminole                 Fl        12    .30        18    .21
  01 061 Geneva                   Al        12    .30        27    .32
  13 051 Chatham                  Ga        12    .30        26    .31
  47 037 Davidson                 Tn        11    .28        30    .36
  24 017 Charles                  Md        11    .28        21    .25
  01 089 Madison                  Al        11    .28        25    .30
  01 109 Pike                     Al        11    .28        22    .26
  47 065 Hamilton                 Tn        11    .28        28    .33
  48 485 Wichita                  Tx        11    .28        38    .45
  12 019 Clay                     Fl        10    .25        27    .32
  21 111 Jefferson                Ky        10    .25        21    .25
  51 700 Newport News city        Va        10    .25        21    .25
  35 035 Otero                    NM        10    .25        31    .37
  24 031 Montgomery               Md        10    .25        15    .18
  28 047 Harrison                 Ms        10    .25        24    .28
   Same State                              123   3.10       245   2.90
   Region 1:   Northeast                   195   4.92       396   4.70
   Region 2:   Midwest                     323   8.15       675   8.00
   Region 3:   South                       857  21.63      1808  21.44
   Region 4:   West                        213   5.38       497   5.89
      12 005   County Non-Migrants       41220            92435
12 007   Bradford Total Migration Fl       495             1049
  12 001 Alachua                  Fl        79  15.96       159  15.16
  12 019 Clay                     Fl        62  12.53       130  12.39
  12 031 Duval                    Fl        48   9.70        89   8.48
