44 001   Bristol Total Migration  RI      1188             2184
  44 007 Providence               RI       381  32.07       667  30.54
  25 005 Bristol                  Ma       120  10.10       208   9.52
  44 005 Newport                  RI        94   7.91       192   8.79
  44 009 Washington               RI        41   3.45        71   3.25
  44 003 Kent                     RI        38   3.20        86   3.94
  25 017 Middlesex                Ma        33   2.78        50   2.29
  25 025 Suffolk                  Ma        13   1.09        13    .60
  25 021 Norfolk                  Ma        13   1.09        25   1.14
  09 001 Fairfield                Ct        12   1.01        18    .82
  12 099 Palm Beach               Fl        12   1.01        20    .92
  57 001 Foreign / Overseas       FR        12   1.01        16    .73
  36 061 New York                 NY        11    .93        14    .64
  12 103 Pinellas                 Fl        11    .93        21    .96
  25 023 Plymouth                 Ma        10    .84        27   1.24
   Region 1:   Northeast                   128  10.77       252  11.54
   Region 2:   Midwest                      32   2.69        75   3.43
   Region 3:   South                       163  13.72       312  14.29
   Region 4:   West                         64   5.39       117   5.36
      44 001   County Non-Migrants       17777            39191
44 003   Kent Total Migration Flo RI      4196             7400
  44 007 Providence               RI      1605  38.25      2671  36.09
  44 009 Washington               RI       597  14.23      1089  14.72
  25 005 Bristol                  Ma        92   2.19       167   2.26
  44 005 Newport                  RI        67   1.60       102   1.38
  25 017 Middlesex                Ma        56   1.33        88   1.19
  44 001 Bristol                  RI        52   1.24        95   1.28
  12 011 Broward                  Fl        40    .95        60    .81
  25 025 Suffolk                  Ma        38    .91        39    .53
  12 103 Pinellas                 Fl        36    .86        54    .73
  25 021 Norfolk                  Ma        34    .81        57    .77
  09 003 Hartford                 Ct        32    .76        47    .64
  12 071 Lee                      Fl        28    .67        51    .69
  57 001 Foreign / Overseas       FR        26    .62        54    .73
  06 037 Los Angeles              Ca        26    .62        43    .58
  12 099 Palm Beach               Fl        25    .60        44    .59
  12 009 Brevard                  Fl        23    .55        43    .58
  25 027 Worcester                Ma        23    .55        51    .69
  12 057 Hillsborough             Fl        23    .55        48    .65
  12 115 Sarasota                 Fl        23    .55        44    .59
  12 127 Volusia                  Fl        23    .55        34    .46
  09 011 New London               Ct        22    .52        37    .50
  09 001 Fairfield                Ct        21    .50        38    .51
  06 073 San Diego                Ca        19    .45        37    .50
