06 001   Alameda Total Migration  Ca     38713            71678
  29 189 St. Louis                Mo        28    .07        66    .09
  08 069 Larimer                  Co        28    .07        53    .07
  34 027 Morris                   NJ        27    .07        56    .08
  26 125 Oakland                  Mi        27    .07        57    .08
  32 005 Douglas                  Nv        27    .07        59    .08
  48 085 Collin                   Tx        27    .07        65    .09
  35 049 Santa Fe                 NM        27    .07        48    .07
  25 021 Norfolk                  Ma        27    .07        41    .06
  29 095 Jackson                  Mo        27    .07        58    .08
  26 161 Washtenaw                Mi        26    .07        48    .07
  06 025 Imperial                 Ca        26    .07        77    .11
  41 035 Klamath                  Or        26    .07        54    .08
  53 073 Whatcom                  Wa        25    .06        48    .07
  12 095 Orange                   Fl        25    .06        60    .08
  37 183 Wake                     NC        24    .06        52    .07
  51 700 Newport News city        Va        24    .06        55    .08
  36 055 Monroe                   NY        24    .06        55    .08
  36 059 Nassau                   NY        24    .06        37    .05
  27 123 Ramsey                   Mn        24    .06        41    .06
  39 061 Hamilton                 Oh        24    .06        61    .09
  36 103 Suffolk                  NY        23    .06        32    .04
  53 005 Benton                   Wa        23    .06        70    .10
  42 091 Montgomery               Pa        23    .06        40    .06
  34 021 Mercer                   NJ        23    .06        38    .05
  41 003 Benton                   Or        23    .06        41    .06
  16 019 Bonneville               Id        23    .06        64    .09
  12 103 Pinellas                 Fl        23    .06        39    .05
  04 027 Yuma                     Az        22    .06        47    .07
  41 033 Josephine                Or        22    .06        49    .07
  51 710 Norfolk city             Va        22    .06        56    .08
  47 037 Davidson                 Tn        20    .05        34    .05
  29 510 St. Louis city           Mo        20    .05        26    .04
  48 121 Denton                   Tx        20    .05        46    .06
  10 003 New Castle               De        20    .05        45    .06
  24 003 Anne Arundel             Md        19    .05        41    .06
  08 077 Mesa                     Co        19    .05        45    .06
  23 005 Cumberland               Me        19    .05        34    .05
  51 153 Prince William           Va        19    .05        42    .06
  27 037 Dakota                   Mn        19    .05        34    .05
  04 005 Coconino                 Az        19    .05        30    .04
  34 003 Bergen                   NJ        19    .05        34    .05
  22 033 East Baton Rouge         La        18    .05        45    .06
  36 067 Onondaga                 NY        18    .05        33    .05
  21 111 Jefferson                Ky        18    .05        46    .06
  16 055 Kootenai                 Id        18    .05        44    .06
  16 027 Canyon                   Id        18    .05        35    .05
  06 015 Del Norte                Ca        18    .05        36    .05
  42 017 Bucks                    Pa        18    .05        44    .06
  24 510 Baltimore city           Md        18    .05        20    .03
  37 051 Cumberland               NC        18    .05        33    .05
  53 077 Yakima                   Wa        17    .04        43    .06
  17 019 Champaign                Il        17    .04        26    .04
  48 355 Nueces                   Tx        17    .04        33    .05
  22 051 Jefferson                La        17    .04        44    .06
  42 029 Chester                  Pa        17    .04        36    .05
  34 023 Middlesex                NJ        16    .04        25    .03
  35 043 Sandoval                 NM        16    .04        45    .06
  09 001 Fairfield                Ct        16    .04        42    .06
  44 007 Providence               RI        16    .04        23    .03
  37 135 Orange                   NC        16    .04        32    .04
  25 009 Essex                    Ma        16    .04        39    .05
  12 099 Palm Beach               Fl        16    .04        34    .05
  45 019 Charleston               SC        16    .04        32    .04
  24 005 Baltimore                Md        16    .04        23    .03
  12 033 Escambia                 Fl        16    .04        33    .05
  05 119 Pulaski                  Ar        16    .04        38    .05
  41 041 Lincoln                  Or        15    .04        23    .03
  37 049 Craven                   NC        15    .04        32    .04
  26 049 Genesee                  Mi        15    .04        32    .04
  12 057 Hillsborough             Fl        15    .04        28    .04
  39 153 Summit                   Oh        15    .04        28    .04
  42 045 Delaware                 Pa        15    .04        25    .03
  34 013 Essex                    NJ        15    .04        21    .03
  36 109 Tompkins                 NY        15    .04        25    .03
  39 113 Montgomery               Oh        14    .04        31    .04
  24 027 Howard                   Md        14    .04        29    .04
  51 510 Alexandria city          Va        14    .04        25    .03
  04 015 Mohave                   Az        14    .04        25    .03
  04 025 Yavapai                  Az        14    .04        25    .03
  37 063 Durham                   NC        14    .04        18    .03
  37 119 Mecklenburg              NC        14    .04        32    .04
  49 011 Davis                    Ut        14    .04        33    .05
  06 043 Mariposa                 Ca        14    .04        25    .03
  30 031 Gallatin                 Mt        14    .04        18    .03
  06 011 Colusa                   Ca        14    .04        31    .04
  06 035 Lassen                   Ca        14    .04        30    .04
  06 105 Trinity                  Ca        14    .04        24    .03
  20 173 Sedgwick                 Ks        14    .04        26    .04
  15 007 Kauai                    Hi        14    .04        20    .03
  48 215 Hidalgo                  Tx        13    .03        30    .04
  36 005 Bronx                    NY        13    .03        15    .02
  34 035 Somerset                 NJ        13    .03        29    .04
  35 055 Taos                     NM        13    .03        15    .02
  34 039 Union                    NJ        13    .03        23    .03
  48 157 Fort Bend                Tx        13    .03        38    .05
  06 021 Glenn                    Ca        13    .03        29    .04
  09 003 Hartford                 Ct        13    .03        17    .02
  12 009 Brevard                  Fl        13    .03        27    .04
  34 025 Monmouth                 NJ        13    .03        18    .03
  51 550 Chesapeake city          Va        13    .03        36    .05
  29 183 St. Charles              Mo        13    .03        24    .03
  12 115 Sarasota                 Fl        12    .03        19    .03
  26 065 Ingham                   Mi        12    .03        27    .04
  01 089 Madison                  Al        12    .03        27    .04
  12 001 Alachua                  Fl        12    .03        20    .03
  01 073 Jefferson                Al        12    .03        30    .04
  41 043 Linn                     Or        12    .03        26    .04
  41 015 Curry                    Or        12    .03        22    .03
  22 073 Ouachita                 La        12    .03        19    .03
  35 013 Dona Ana                 NM        12    .03        22    .03
  53 031 Jefferson                Wa        12    .03        17    .02
  12 127 Volusia                  Fl        12    .03        23    .03
  48 027 Bell                     Tx        12    .03        18    .03
  41 071 Yamhill                  Or        12    .03        32    .04
  36 029 Erie                     NY        12    .03        18    .03
  50 007 Chittenden               Vt        12    .03        20    .03
  26 081 Kent                     Mi        12    .03        23    .03
  41 011 Coos                     Or        11    .03        21    .03
  37 133 Onslow                   NC        11    .03        31    .04
  17 197 Will                     Il        11    .03        29    .04
  49 057 Weber                    Ut        11    .03        19    .03
  45 079 Richland                 SC        11    .03        14    .02
  12 117 Seminole                 Fl        11    .03        19    .03
  33 015 Rockingham               NH        11    .03        22    .03
  48 245 Jefferson                Tx        11    .03        23    .03
  53 057 Skagit                   Wa        11    .03        19    .03
  47 093 Knox                     Tn        11    .03        18    .03
  53 009 Clallam                  Wa        11    .03        19    .03
  12 071 Lee                      Fl        11    .03        31    .04
  53 021 Franklin                 Wa        11    .03        21    .03
  13 063 Clayton                  Ga        11    .03        23    .03
  53 045 Mason                    Wa        10    .03        31    .04
  45 003 Aiken                    SC        10    .03        28    .04
  20 091 Johnson                  Ks        10    .03        20    .03
  55 133 Waukesha                 Wi        10    .03        15    .02
  25 027 Worcester                Ma        10    .03        16    .02
  12 005 Bay                      Fl        10    .03        20    .03
  09 011 New London               Ct        10    .03        12    .02
  17 089 Kane                     Il        10    .03        25    .03
   Same State                               17    .04        27    .04
   Region 1:   Northeast                   329    .85       580    .81
   Region 2:   Midwest                     678   1.75      1293   1.80
   Region 3:   South                       966   2.50      1986   2.77
   Region 4:   West                        451   1.16       856   1.19
      06 001   County Non-Migrants      441373           913766
06 003   Alpine Total Migration F Ca        56               75
  32 005 Douglas                  Nv        11  19.64        19  25.33
   All Migration Flows                      45  80.36        56  74.67
      06 003   County Non-Migrants         299              615
06 005   Amador Total Migration F Ca       792             1568
  06 067 Sacramento               Ca       168  21.21       278  17.73
  06 077 San Joaquin              Ca        55   6.94       109   6.95
  06 009 Calaveras                Ca        52   6.57       113   7.21
  06 017 El Dorado                Ca        37   4.67        85   5.42
  06 037 Los Angeles              Ca        36   4.55        55   3.51
  06 085 Santa Clara              Ca        25   3.16        40   2.55
  06 001 Alameda                  Ca        22   2.78        41   2.61
  06 013 Contra Costa             Ca        17   2.15        35   2.23
  06 061 Placer                   Ca        12   1.52        22   1.40
  06 081 San Mateo                Ca        11   1.39        20   1.28
  06 113 Yolo                     Ca        11   1.39        18   1.15
  06 073 San Diego                Ca        10   1.26        18   1.15
  57 001 Foreign / Overseas       FR        10   1.26        11    .70
  06 099 Stanislaus               Ca        10   1.26        23   1.47
   Same State                              123  15.53       257  16.39
   Same Region, Diff. State                127  16.04       299  19.07
   Different Region                         66   8.33       144   9.18
      06 005   County Non-Migrants        9211            20227
06 007   Butte Total Migration Fl Ca      4320             7813
  06 067 Sacramento               Ca       428   9.91       675   8.64
  06 021 Glenn                    Ca       185   4.28       426   5.45
  06 085 Santa Clara              Ca       175   4.05       255   3.26
  06 089 Shasta                   Ca       172   3.98       345   4.42
  06 037 Los Angeles              Ca       153   3.54       238   3.05
  06 101 Sutter                   Ca       146   3.38       322   4.12
  06 103 Tehama                   Ca       139   3.22       311   3.98
  06 013 Contra Costa             Ca       124   2.87       178   2.28
  06 001 Alameda                  Ca       105   2.43       152   1.95
  06 061 Placer                   Ca        91   2.11       150   1.92
  06 073 San Diego                Ca        86   1.99       142   1.82
  06 075 San Francisco            Ca        85   1.97        94   1.20
  06 097 Sonoma                   Ca        82   1.90       138   1.77
  06 115 Yuba                     Ca        78   1.81       151   1.93
  06 113 Yolo                     Ca        76   1.76       138   1.77
  06 059 Orange                   Ca        67   1.55        94   1.20
  06 081 San Mateo                Ca        65   1.50        75    .96
  06 077 San Joaquin              Ca        64   1.48       117   1.50
  06 019 Fresno                   Ca        62   1.44       148   1.89
  06 023 Humboldt                 Ca        55   1.27       102   1.31
  32 031 Washoe                   Nv        54   1.25        98   1.25
  06 095 Solano                   Ca        52   1.20        93   1.19
  06 053 Monterey                 Ca        51   1.18        83   1.06
  06 057 Nevada                   Ca        49   1.13        91   1.16
  06 099 Stanislaus               Ca        45   1.04        70    .90
  06 063 Plumas                   Ca        42    .97        81   1.04
  57 001 Foreign / Overseas       FR        40    .93        76    .97
  53 033 King                     Wa        38    .88        60    .77
  06 055 Napa                     Ca        37    .86        59    .76
  06 111 Ventura                  Ca        37    .86        54    .69
  06 087 Santa Cruz               Ca        36    .83        59    .76
  06 029 Kern                     Ca        36    .83        76    .97
  06 065 Riverside                Ca        35    .81        80   1.02
  06 017 El Dorado                Ca        31    .72        55    .70
  06 083 Santa Barbara            Ca        31    .72        58    .74
  06 045 Mendocino                Ca        29    .67        48    .61
  04 013 Maricopa                 Az        28    .65        51    .65
  06 079 San Luis Obispo          Ca        28    .65        40    .51
  06 093 Siskiyou                 Ca        27    .63        63    .81
  06 071 San Bernardino           Ca        26    .60        51    .65
  41 029 Jackson                  Or        25    .58        54    .69
