06 001   Alameda Total Migration  Ca     36399            62687
  06 013 Contra Costa             Ca      4656  12.79      7564  12.07
  06 085 Santa Clara              Ca      4594  12.62      8265  13.18
  06 075 San Francisco            Ca      4081  11.21      6350  10.13
  06 081 San Mateo                Ca      2491   6.84      4625   7.38
  06 037 Los Angeles              Ca      1809   4.97      3150   5.02
  57 001 Foreign / Overseas       FR      1093   3.00      2028   3.24
  06 073 San Diego                Ca       797   2.19      1379   2.20
  06 077 San Joaquin              Ca       742   2.04      1491   2.38
  06 067 Sacramento               Ca       706   1.94      1142   1.82
  06 095 Solano                   Ca       648   1.78      1182   1.89
  06 059 Orange                   Ca       565   1.55       955   1.52
  06 041 Marin                    Ca       414   1.14       589    .94
  06 099 Stanislaus               Ca       385   1.06       768   1.23
  04 013 Maricopa                 Az       311    .85       559    .89
  06 097 Sonoma                   Ca       302    .83       489    .78
  17 031 Cook                     Il       282    .77       486    .78
  25 017 Middlesex                Ma       265    .73       377    .60
  53 033 King                     Wa       255    .70       388    .62
  06 019 Fresno                   Ca       254    .70       503    .80
  15 003 Honolulu                 Hi       245    .67       498    .79
  06 087 Santa Cruz               Ca       233    .64       372    .59
  06 053 Monterey                 Ca       211    .58       425    .68
  06 071 San Bernardino           Ca       196    .54       364    .58
  36 061 New York                 NY       178    .49       222    .35
  06 113 Yolo                     Ca       171    .47       239    .38
  06 083 Santa Barbara            Ca       170    .47       247    .39
  06 065 Riverside                Ca       161    .44       294    .47
  06 111 Ventura                  Ca       150    .41       301    .48
  32 031 Washoe                   Nv       138    .38       233    .37
  48 113 Dallas                   Tx       132    .36       256    .41
  48 201 Harris                   Tx       123    .34       232    .37
  06 055 Napa                     Ca       118    .32       222    .35
  06 079 San Luis Obispo          Ca       107    .29       141    .22
  11 001 Wash.,D.C.               DC       106    .29       131    .21
  06 007 Butte                    Ca       105    .29       152    .24
  06 029 Kern                     Ca       102    .28       212    .34
  25 025 Suffolk                  Ma        96    .26       124    .20
  04 019 Pima                     Az        93    .26       154    .25
  36 047 Kings                    NY        89    .24       157    .25
  51 059 Fairfax                  Va        85    .23       151    .24
  24 031 Montgomery               Md        85    .23       136    .22
  36 081 Queens                   NY        85    .23       126    .20
  06 061 Placer                   Ca        84    .23       126    .20
  41 051 Multnomah                Or        84    .23       139    .22
  32 003 Clark                    Nv        83    .23       150    .24
  49 035 Salt Lake                Ut        83    .23       169    .27
  27 053 Hennepin                 Mn        77    .21       104    .17
  35 001 Bernalillo               NM        75    .21       131    .21
  51 810 Virginia Beach city      Va        74    .20       188    .30
  08 031 Denver                   Co        74    .20       119    .19
  06 017 El Dorado                Ca        74    .20       136    .22
  06 023 Humboldt                 Ca        71    .20       114    .18
  53 053 Pierce                   Wa        67    .18       123    .20
  08 005 Arapahoe                 Co        66    .18       124    .20
  48 453 Travis                   Tx        65    .18       106    .17
  06 089 Shasta                   Ca        64    .18        97    .15
  48 029 Bexar                    Tx        63    .17        99    .16
  08 059 Jefferson                Co        63    .17       129    .21
  22 071 Orleans                  La        62    .17       114    .18
  42 101 Philadelphia             Pa        61    .17        97    .15
  12 025 Dade                     Fl        60    .16       107    .17
  25 021 Norfolk                  Ma        60    .16        90    .14
  06 047 Merced                   Ca        58    .16       124    .20
  51 700 Newport News city        Va        58    .16       159    .25
  51 710 Norfolk city             Va        57    .16       153    .24
  12 011 Broward                  Fl        57    .16        99    .16
  48 439 Tarrant                  Tx        56    .15       105    .17
  17 097 Lake                     Il        55    .15       102    .16
  06 057 Nevada                   Ca        54    .15        90    .14
  13 121 Fulton                   Ga        54    .15        95    .15
  26 161 Washtenaw                Mi        52    .14        65    .10
  09 001 Fairfield                Ct        52    .14        81    .13
  17 043 Du Page                  Il        52    .14        89    .14
  47 157 Shelby                   Tn        51    .14       101    .16
  39 035 Cuyahoga                 Oh        51    .14        81    .13
  26 125 Oakland                  Mi        50    .14        86    .14
  06 107 Tulare                   Ca        50    .14        97    .15
  09 009 New Haven                Ct        50    .14        62    .10
  26 163 Wayne                    Mi        50    .14        79    .13
  08 041 El Paso                  Co        49    .13       104    .17
  36 103 Suffolk                  NY        49    .13        76    .12
  06 109 Tuolumne                 Ca        49    .13        89    .14
  29 189 St. Louis                Mo        47    .13        89    .14
  42 003 Allegheny                Pa        46    .13        63    .10
  06 045 Mendocino                Ca        45    .12        81    .13
  36 119 Westchester              NY        44    .12        64    .10
  06 033 Lake                     Ca        44    .12        80    .13
  41 067 Washington               Or        43    .12        72    .11
  57 005 APO / FPO Zip Code       FR        42    .12       105    .17
  41 039 Lane                     Or        42    .12        60    .10
  24 033 Prince George's          Md        42    .12        63    .10
  08 013 Boulder                  Co        41    .11        60    .10
  39 049 Franklin                 Oh        41    .11        55    .09
  29 095 Jackson                  Mo        41    .11        70    .11
  51 013 Arlington                Va        39    .11        53    .08
  48 141 El Paso                  Tx        38    .10        65    .10
  12 057 Hillsborough             Fl        38    .10        69    .11
  25 009 Essex                    Ma        37    .10        53    .08
  27 123 Ramsey                   Mn        36    .10        57    .09
