12 001   Alachua Total Migration  Fl      6846            11950
  12 025 Dade                     Fl       303   4.43       483   4.04
  12 011 Broward                  Fl       291   4.25       437   3.66
  12 083 Marion                   Fl       284   4.15       581   4.86
  12 031 Duval                    Fl       246   3.59       384   3.21
  12 103 Pinellas                 Fl       232   3.39       333   2.79
  12 099 Palm Beach               Fl       212   3.10       308   2.58
  12 057 Hillsborough             Fl       202   2.95       321   2.69
  12 095 Orange                   Fl       199   2.91       309   2.59
  57 001 Foreign / Overseas       FR       142   2.07       285   2.38
  12 107 Putnam                   Fl       135   1.97       254   2.13
  12 127 Volusia                  Fl       127   1.86       197   1.65
  12 023 Columbia                 Fl       125   1.83       275   2.30
  12 075 Levy                     Fl       113   1.65       219   1.83
  12 073 Leon                     Fl       112   1.64       185   1.55
  12 117 Seminole                 Fl       106   1.55       189   1.58
  12 009 Brevard                  Fl       102   1.49       141   1.18
  12 071 Lee                      Fl        99   1.45       144   1.21
  12 019 Clay                     Fl        92   1.34       163   1.36
  12 007 Bradford                 Fl        79   1.15       159   1.33
  12 105 Polk                     Fl        69   1.01       113    .95
  12 115 Sarasota                 Fl        68    .99        94    .79
  12 017 Citrus                   Fl        56    .82       126   1.05
  12 041 Gilchrist                Fl        55    .80       107    .90
  12 109 St. Johns                Fl        54    .79        89    .74
  12 033 Escambia                 Fl        48    .70        71    .59
  12 021 Collier                  Fl        48    .70        79    .66
  12 111 St. Lucie                Fl        47    .69        81    .68
  12 069 Lake                     Fl        47    .69        78    .65
  12 081 Manatee                  Fl        45    .66        72    .60
  12 101 Pasco                    Fl        39    .57        59    .49
  51 059 Fairfax                  Va        38    .56        56    .47
  12 085 Martin                   Fl        35    .51        53    .44
  12 125 Union                    Fl        34    .50        71    .59
  06 037 Los Angeles              Ca        32    .47        52    .44
  12 121 Suwannee                 Fl        30    .44        50    .42
  12 091 Okaloosa                 Fl        30    .44        59    .49
  25 017 Middlesex                Ma        28    .41        62    .52
  12 053 Hernando                 Fl        28    .41        49    .41
  17 031 Cook                     Il        28    .41        44    .37
  12 087 Monroe                   Fl        28    .41        39    .33
  13 121 Fulton                   Ga        27    .39        42    .35
  48 201 Harris                   Tx        26    .38        48    .40
  12 029 Dixie                    Fl        25    .37        51    .43
  12 015 Charlotte                Fl        25    .37        38    .32
  36 059 Nassau                   NY        24    .35        38    .32
  24 031 Montgomery               Md        24    .35        32    .27
  13 089 De Kalb                  Ga        22    .32        34    .28
  12 055 Highlands                Fl        20    .29        27    .23
  06 073 San Diego                Ca        20    .29        29    .24
  12 097 Osceola                  Fl        20    .29        27    .23
  39 035 Cuyahoga                 Oh        18    .26        27    .23
  39 049 Franklin                 Oh        18    .26        35    .29
  13 067 Cobb                     Ga        17    .25        25    .21
  13 185 Lowndes                  Ga        17    .25        29    .24
  12 061 Indian River             Fl        17    .25        24    .20
  36 061 New York                 NY        16    .23        31    .26
  37 051 Cumberland               NC        16    .23        35    .29
  36 103 Suffolk                  NY        16    .23        23    .19
  36 081 Queens                   NY        16    .23        20    .17
  37 063 Durham                   NC        15    .22        32    .27
  22 071 Orleans                  La        15    .22        26    .22
  34 003 Bergen                   NJ        15    .22        22    .18
  12 113 Santa Rosa               Fl        15    .22        23    .19
  47 037 Davidson                 Tn        15    .22        22    .18
  12 005 Bay                      Fl        15    .22        28    .23
  37 119 Mecklenburg              NC        15    .22        20    .17
  29 189 St. Louis                Mo        14    .20        35    .29
  51 810 Virginia Beach city      Va        14    .20        28    .23
  24 033 Prince George's          Md        14    .20        26    .22
  09 001 Fairfield                Ct        14    .20        25    .21
  36 119 Westchester              NY        14    .20        21    .18
  12 089 Nassau                   Fl        14    .20        27    .23
  25 005 Bristol                  Ma        14    .20        24    .20
  25 027 Worcester                Ma        13    .19        25    .21
  42 101 Philadelphia             Pa        13    .19        17    .14
  36 047 Kings                    NY        13    .19        30    .25
  12 003 Baker                    Fl        13    .19        35    .29
  51 013 Arlington                Va        13    .19        21    .18
  53 033 King                     Wa        13    .19        29    .24
  09 003 Hartford                 Ct        13    .19        24    .20
  06 001 Alameda                  Ca        12    .18        20    .17
  26 161 Washtenaw                Mi        12    .18        26    .22
  48 113 Dallas                   Tx        12    .18        18    .15
  26 065 Ingham                   Mi        12    .18        20    .17
  01 089 Madison                  Al        12    .18        26    .22
  06 059 Orange                   Ca        12    .18        24    .20
  42 003 Allegheny                Pa        12    .18        27    .23
  13 059 Clarke                   Ga        11    .16        20    .17
  39 061 Hamilton                 Oh        11    .16        20    .17
  51 710 Norfolk city             Va        11    .16        14    .12
  12 063 Jackson                  Fl        11    .16        23    .19
  18 097 Marion                   In        11    .16        19    .16
  48 141 El Paso                  Tx        11    .16        16    .13
  25 009 Essex                    Ma        11    .16        19    .16
  37 133 Onslow                   NC        11    .16        23    .19
  13 215 Muscogee                 Ga        11    .16        28    .23
  36 029 Erie                     NY        11    .16        18    .15
  12 035 Flagler                  Fl        11    .16        21    .18
  12 039 Gadsden                  Fl        11    .16        19    .16
  11 001 Wash.,D.C.               DC        11    .16        16    .13
  34 023 Middlesex                NJ        10    .15        15    .13
  25 025 Suffolk                  Ma        10    .15        20    .17
  17 043 Du Page                  Il        10    .15        22    .18
  01 073 Jefferson                Al        10    .15        19    .16
  26 125 Oakland                  Mi        10    .15        16    .13
  45 019 Charleston               SC        10    .15        17    .14
  08 041 El Paso                  Co        10    .15        22    .18
  48 453 Travis                   Tx        10    .15        18    .15
  12 119 Sumter                   Fl        10    .15        17    .14
  04 013 Maricopa                 Az        10    .15        24    .20
   Same State                               51    .74        85    .71
   Region 1:   Northeast                   371   5.42       657   5.50
   Region 2:   Midwest                     381   5.57       704   5.89
   Region 3:   South                       734  10.72      1453  12.16
   Region 4:   West                        203   2.97       390   3.26
   Foreign                                  13    .19        28    .23
      12 001   County Non-Migrants       55605           118734
12 003   Baker Total Migration Fl Fl       407              986
  12 031 Duval                    Fl       171  42.01       400  40.57
  12 019 Clay                     Fl        18   4.42        37   3.75
  12 023 Columbia                 Fl        14   3.44        34   3.45
  13 049 Charlton                 Ga        11   2.70        27   2.74
  12 089 Nassau                   Fl        11   2.70        36   3.65
  57 001 Foreign / Overseas       FR        10   2.46        24   2.43
   Same State                               71  17.44       174  17.65
   Region 1:   Northeast                    12   2.95        28   2.84
   Region 2:   Midwest                      13   3.19        38   3.85
   Region 3:   South                        64  15.72       154  15.62
   Region 4:   West                         12   2.95        34   3.45
      12 003   County Non-Migrants        5005            13066
12 005   Bay Total Migration Flow Fl      4660             9870
  57 001 Foreign / Overseas       FR       448   9.61      1060  10.74
  12 073 Leon                     Fl        95   2.04       166   1.68
  12 033 Escambia                 Fl        90   1.93       190   1.93
  12 091 Okaloosa                 Fl        88   1.89       180   1.82
  12 045 Gulf                     Fl        88   1.89       179   1.81
  12 133 Washington               Fl        61   1.31       136   1.38
  01 073 Jefferson                Al        58   1.24       110   1.11
  12 095 Orange                   Fl        51   1.09       101   1.02
  12 057 Hillsborough             Fl        51   1.09        99   1.00
  12 103 Pinellas                 Fl        48   1.03       104   1.05
  12 031 Duval                    Fl        46    .99        98    .99
  12 011 Broward                  Fl        44    .94        75    .76
  12 063 Jackson                  Fl        44    .94        82    .83
  51 810 Virginia Beach city      Va        38    .82       106   1.07
  06 073 San Diego                Ca        36    .77        63    .64
  01 069 Houston                  Al        36    .77        81    .82
  01 097 Mobile                   Al        35    .75        69    .70
  13 067 Cobb                     Ga        33    .71        63    .64
  01 101 Montgomery               Al        31    .67        69    .70
  12 025 Dade                     Fl        30    .64        59    .60
  12 099 Palm Beach               Fl        29    .62        51    .52
