  09 001 Fairfield                Ct        50    .65        71    .57
  12 011 Broward                  Fl        48    .63        77    .62
  12 025 Dade                     Fl        36    .47        68    .55
  25 013 Hampden                  Ma        35    .46        44    .36
  23 005 Cumberland               Me        33    .43        38    .31
  17 031 Cook                     Il        32    .42        51    .41
  12 099 Palm Beach               Fl        31    .41        53    .43
  36 081 Queens                   NY        31    .41        47    .38
  36 103 Suffolk                  NY        29    .38        53    .43
  25 001 Barnstable               Ma        28    .37        39    .31
  33 011 Hillsborough             NH        27    .35        58    .47
  06 073 San Diego                Ca        26    .34        37    .30
  12 095 Orange                   Fl        26    .34        45    .36
  06 059 Orange                   Ca        26    .34        41    .33
  12 103 Pinellas                 Fl        26    .34        55    .44
  36 059 Nassau                   NY        26    .34        37    .30
  51 059 Fairfax                  Va        25    .33        50    .40
  36 005 Bronx                    NY        24    .31        55    .44
  04 013 Maricopa                 Az        22    .29        40    .32
  24 031 Montgomery               Md        22    .29        32    .26
  11 001 Wash.,D.C.               DC        22    .29        26    .21
  36 055 Monroe                   NY        21    .27        34    .27
  34 023 Middlesex                NJ        19    .25        33    .27
  36 029 Erie                     NY        19    .25        26    .21
  06 085 Santa Clara              Ca        19    .25        30    .24
  12 009 Brevard                  Fl        19    .25        35    .28
  42 003 Allegheny                Pa        19    .25        35    .28
  42 101 Philadelphia             Pa        19    .25        28    .23
  06 001 Alameda                  Ca        19    .25        35    .28
  25 015 Hampshire                Ma        18    .24        22    .18
  34 003 Bergen                   NJ        17    .22        27    .22
  34 017 Hudson                   NJ        17    .22        26    .21
  53 033 King                     Wa        16    .21        19    .15
  33 015 Rockingham               NH        16    .21        23    .19
  12 115 Sarasota                 Fl        15    .20        26    .21
  23 031 York                     Me        14    .18        20    .16
  12 127 Volusia                  Fl        14    .18        20    .16
  15 003 Honolulu                 Hi        14    .18        20    .16
  09 005 Litchfield               Ct        14    .18        19    .15
  12 057 Hillsborough             Fl        14    .18        25    .20
  12 071 Lee                      Fl        14    .18        22    .18
  36 001 Albany                   NY        13    .17        18    .15
  06 067 Sacramento               Ca        13    .17        24    .19
  48 201 Harris                   Tx        13    .17        25    .20
  42 091 Montgomery               Pa        13    .17        18    .15
  34 031 Passaic                  NJ        12    .16        21    .17
  06 075 San Francisco            Ca        12    .16        15    .12
  51 810 Virginia Beach city      Va        12    .16        28    .23
  09 007 Middlesex                Ct        12    .16        14    .11
  51 013 Arlington                Va        12    .16        17    .14
  36 067 Onondaga                 NY        12    .16        17    .14
  29 189 St. Louis                Mo        12    .16        28    .23
  23 011 Kennebec                 Me        12    .16        14    .11
  39 035 Cuyahoga                 Oh        11    .14        22    .18
  13 121 Fulton                   Ga        11    .14        20    .16
  12 081 Manatee                  Fl        11    .14        17    .14
  48 439 Tarrant                  Tx        11    .14        23    .19
  24 510 Baltimore city           Md        11    .14        21    .17
  48 113 Dallas                   Tx        11    .14        20    .16
  32 003 Clark                    Nv        11    .14        12    .10
  25 011 Franklin                 Ma        11    .14        21    .17
  25 003 Berkshire                Ma        11    .14        18    .15
  06 071 San Bernardino           Ca        11    .14        25    .20
  36 119 Westchester              NY        10    .13        13    .10
  34 013 Essex                    NJ        10    .13        19    .15
  27 053 Hennepin                 Mn        10    .13        11    .09
  34 039 Union                    NJ        10    .13        21    .17
  06 065 Riverside                Ca        10    .13        19    .15
  39 049 Franklin                 Oh        10    .13        19    .15
  26 163 Wayne                    Mi        10    .13        21    .17
   Region 1:   Northeast                   365   4.77       553   4.46
   Region 2:   Midwest                     187   2.45       329   2.66
   Region 3:   South                       433   5.66       775   6.26
   Region 4:   West                        126   1.65       193   1.56
      44 007   County Non-Migrants      207823           425660
44 009   Washington Total Migrati RI      3018             5517
  44 007 Providence               RI       603  19.98      1105  20.03
  44 003 Kent                     RI       583  19.32      1132  20.52
  09 011 New London               Ct       316  10.47       596  10.80
  44 005 Newport                  RI       137   4.54       244   4.42
  57 001 Foreign / Overseas       FR        93   3.08       112   2.03
  09 003 Hartford                 Ct        73   2.42       114   2.07
  25 005 Bristol                  Ma        45   1.49        86   1.56
  09 009 New Haven                Ct        40   1.33        70   1.27
  09 001 Fairfield                Ct        36   1.19        69   1.25
  34 001 Atlantic                 NJ        33   1.09        62   1.12
  25 017 Middlesex                Ma        31   1.03        46    .83
  44 001 Bristol                  RI        30    .99        52    .94
  25 021 Norfolk                  Ma        24    .80        37    .67
  06 073 San Diego                Ca        21    .70        31    .56
  36 061 New York                 NY        21    .70        32    .58
  25 025 Suffolk                  Ma        21    .70        31    .56
  25 027 Worcester                Ma        20    .66        24    .44
  57 005 APO / FPO Zip Code       FR        16    .53        33    .60
  25 013 Hampden                  Ma        16    .53        26    .47
  12 099 Palm Beach               Fl        16    .53        20    .36
  09 013 Tolland                  Ct        14    .46        32    .58
  25 001 Barnstable               Ma        13    .43        29    .53
  09 007 Middlesex                Ct        13    .43        19    .34
  09 015 Windham                  Ct        13    .43        27    .49
  36 103 Suffolk                  NY        11    .36        28    .51
  25 023 Plymouth                 Ma        11    .36        19    .34
  25 009 Essex                    Ma        10    .33        15    .27
  12 103 Pinellas                 Fl        10    .33        16    .29
   Region 1:   Northeast                   302  10.01       538   9.75
   Region 2:   Midwest                      88   2.92       168   3.05
   Region 3:   South                       243   8.05       490   8.88
   Region 4:   West                        115   3.81       214   3.88
      44 009   County Non-Migrants       38103            83480
