12 001   Alachua Total Migration  Fl      6194            10626
  12 031 Duval                    Fl        55   1.32       118   1.34
  12 057 Hillsborough             Fl        54   1.30       111   1.26
  02 020 Anchorage Borough        Ak        51   1.23       127   1.44
  01 069 Houston                  Al        48   1.16        95   1.08
  12 099 Palm Beach               Fl        46   1.11       105   1.19
  01 073 Jefferson                Al        41    .99        85    .96
  12 103 Pinellas                 Fl        40    .96        69    .78
  51 810 Virginia Beach city      Va        39    .94        94   1.06
  12 131 Walton                   Fl        38    .92        72    .82
  12 009 Brevard                  Fl        35    .84        83    .94
  12 001 Alachua                  Fl        35    .84        56    .63
  06 073 San Diego                Ca        34    .82        65    .74
  12 011 Broward                  Fl        31    .75        51    .58
  12 113 Santa Rosa               Fl        31    .75        75    .85
  12 095 Orange                   Fl        30    .72        61    .69
  01 101 Montgomery               Al        30    .72        62    .70
  32 003 Clark                    Nv        30    .72        62    .70
  13 089 De Kalb                  Ga        29    .70        43    .49
  48 029 Bexar                    Tx        28    .67        67    .76
  13 067 Cobb                     Ga        28    .67        50    .57
  12 025 Dade                     Fl        23    .55        41    .46
  13 135 Gwinnett                 Ga        22    .53        39    .44
  12 059 Holmes                   Fl        22    .53        46    .52
  12 013 Calhoun                  Fl        20    .48        44    .50
  12 037 Franklin                 Fl        20    .48        45    .51
  28 047 Harrison                 Ms        20    .48        48    .54
  15 003 Honolulu                 Hi        20    .48        46    .52
  47 157 Shelby                   Tn        20    .48        42    .48
  06 037 Los Angeles              Ca        19    .46        27    .31
  12 105 Polk                     Fl        18    .43        41    .46
  48 201 Harris                   Tx        18    .43        31    .35
  48 439 Tarrant                  Tx        18    .43        44    .50
  13 215 Muscogee                 Ga        18    .43        42    .48
  13 121 Fulton                   Ga        17    .41        28    .32
  04 013 Maricopa                 Az        17    .41        32    .36
  47 037 Davidson                 Tn        16    .39        21    .24
  48 113 Dallas                   Tx        16    .39        26    .29
  12 117 Seminole                 Fl        16    .39        40    .45
  12 127 Volusia                  Fl        15    .36        26    .29
  01 031 Coffee                   Al        15    .36        28    .32
  12 019 Clay                     Fl        15    .36        28    .32
  40 109 Oklahoma                 Ok        15    .36        33    .37
  08 041 El Paso                  Co        15    .36        40    .45
  01 089 Madison                  Al        14    .34        20    .23
  12 081 Manatee                  Fl        14    .34        26    .29
  51 059 Fairfax                  Va        14    .34        28    .32
  51 650 Hampton city             Va        13    .31        33    .37
  28 059 Jackson                  Ms        13    .31        28    .32
  12 087 Monroe                   Fl        13    .31        23    .26
  01 097 Mobile                   Al        13    .31        26    .29
  24 033 Prince George's          Md        13    .31        22    .25
  37 051 Cumberland               NC        12    .29        24    .27
  13 095 Dougherty                Ga        12    .29        26    .29
  01 125 Tuscaloosa               Al        12    .29        20    .23
  12 083 Marion                   Fl        12    .29        29    .33
  13 021 Bibb                     Ga        12    .29        22    .25
  39 113 Montgomery               Oh        12    .29        18    .20
  18 097 Marion                   In        11    .26        19    .22
  22 071 Orleans                  La        11    .26        20    .23
  48 167 Galveston                Tx        11    .26        26    .29
  01 045 Dale                     Al        11    .26        22    .25
  13 153 Houston                  Ga        11    .26        22    .25
  13 051 Chatham                  Ga        11    .26        20    .23
