06 001   Alameda Total Migration  Ca     38507            69619
  06 013 Contra Costa             Ca      6993  18.16     12637  18.15
  06 085 Santa Clara              Ca      3626   9.42      6093   8.75
  06 075 San Francisco            Ca      3360   8.73      4675   6.72
  06 081 San Mateo                Ca      1824   4.74      3179   4.57
  06 077 San Joaquin              Ca      1571   4.08      3666   5.27
  06 037 Los Angeles              Ca      1370   3.56      2127   3.06
  06 067 Sacramento               Ca      1065   2.77      1935   2.78
  06 099 Stanislaus               Ca       877   2.28      2080   2.99
  06 095 Solano                   Ca       806   2.09      1756   2.52
  06 073 San Diego                Ca       729   1.89      1297   1.86
  06 041 Marin                    Ca       574   1.49       889   1.28
  06 097 Sonoma                   Ca       464   1.20       780   1.12
  06 059 Orange                   Ca       449   1.17       813   1.17
  53 033 King                     Wa       440   1.14       784   1.13
  57 001 Foreign / Overseas       FR       391   1.02       645    .93
  57 005 APO / FPO Zip Code       FR       345    .90       612    .88
  04 013 Maricopa                 Az       317    .82       626    .90
  06 087 Santa Cruz               Ca       299    .78       421    .60
  06 019 Fresno                   Ca       246    .64       509    .73
  17 031 Cook                     Il       233    .61       427    .61
  15 003 Honolulu                 Hi       229    .59       389    .56
  32 031 Washoe                   Nv       202    .52       386    .55
  06 007 Butte                    Ca       198    .51       327    .47
  06 113 Yolo                     Ca       196    .51       292    .42
  06 061 Placer                   Ca       190    .49       390    .56
  06 017 El Dorado                Ca       189    .49       339    .49
  06 055 Napa                     Ca       186    .48       329    .47
  32 003 Clark                    Nv       181    .47       322    .46
  06 053 Monterey                 Ca       179    .46       345    .50
  41 051 Multnomah                Or       176    .46       295    .42
  06 071 San Bernardino           Ca       171    .44       361    .52
  48 201 Harris                   Tx       167    .43       319    .46
  36 061 New York                 NY       152    .39       202    .29
  06 065 Riverside                Ca       152    .39       288    .41
  48 113 Dallas                   Tx       127    .33       244    .35
  06 089 Shasta                   Ca       125    .32       244    .35
  06 109 Tuolumne                 Ca       122    .32       248    .36
  06 057 Nevada                   Ca       118    .31       217    .31
  06 009 Calaveras                Ca       117    .30       236    .34
  06 083 Santa Barbara            Ca       116    .30       140    .20
  06 111 Ventura                  Ca       116    .30       285    .41
  49 035 Salt Lake                Ut       108    .28       207    .30
  25 017 Middlesex                Ma       108    .28       153    .22
  41 067 Washington               Or       107    .28       239    .34
  08 041 El Paso                  Co       104    .27       247    .35
  06 079 San Luis Obispo          Ca       102    .26       139    .20
